CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0194,0.7024637655946616
C0001,C0104,0.6870007525601978
C0001,C0020,0.6833043281726668
C0002,C0030,0.20230842689297038
C0002,C0091,0.19188901510454767
C0002,C0071,0.16007899052904342
C0003,C0181,0.7387858990019652
C0003,C0144,0.7118999535822516
C0003,C0067,0.6712537285276893
C0004,C0070,0.6759507444899095
C0004,C0132,0.6397992771224918
C0004,C0105,0.637891391536541
C0005,C0096,0.24372806964631855
C0005,C0023,0.23512591246452758
C0005,C0055,0.1910498120724278
C0006,C0058,0.6570815116810953
C0006,C0171,0.6325423872817388
C0006,C0126,0.6313354349097158
C0007,C0079,0.30872075201729365
C0007,C0118,0.23913848711587007
C0007,C0020,0.22830751733334714
C0008,C0144,0.6633752744169612
C0008,C0169,0.6394423801415307
C0008,C0091,0.6302801672759999
C0009,C0083,0.7654212149683578
C0009,C0072,0.729061541469232
C0009,C0058,0.6966759857782352
C0010,C0094,0.757532031210665
C0010,C0034,0.6718961813885922
C0010,C0033,0.6680985105219696
C0011,C0135,0.7566414907915433
C0011,C0120,0.6825945959817658
C0011,C0107,0.6483491444265865
C0012,C0164,0.7441285240113042
C0012,C0158,0.6875647813952638
C0012,C0066,0.6504694954263803
C0013,C0169,0.7253777655552032
C0013,C0099,0.6586224772873028
C0013,C0171,0.6463763102655348
C0014,C0058,0.7085127260476152
C0014,C0195,0.6695639941366691
C0014,C0060,0.6235726072638652
C0015,C0073,0.8615593431021458
C0015,C0036,0.7998553050333681
C0015,C0059,0.7254905360597524
C0016,C0187,0.8172318340209477
C0016,C0064,0.7701465009789168
C0016,C0052,0.7291653602682571
C0017,C0071,0.7277604153240679
C0017,C0024,0.6793779557231379
C0017,C0037,0.6778140459561417
C0018,C0059,0.6559496969539699
C0018,C0081,0.6495311372787682
C0018,C0087,0.6419927904314635
C0019,C0064,0.6988907588044477
C0019,C0024,0.6929714071927214
C0019,C0039,0.6424465561730662
C0020,C0026,0.8135345325759968
C0020,C0104,0.7362325426533007
C0020,C0119,0.6920578723940143
